Date,Price,Open,High,Low,Vol.,Change %
7/5/2018,"26,595.70","25,218.10","26,595.70","24,261.40",4.48M,6.92%
4/5/2018,"24,873.70","26,098.20","26,404.30","24,873.70",2.01M,-3.56%
3/5/2018,"25,792.10","24,644.10","26,710.50","23,917.00",5.24M,0.30%
2/5/2018,"25,715.50","28,088.10","28,241.20","25,715.50",2.35M,-6.93%
27/04/2018,"27,628.90","27,858.50","29,159.60","27,552.40",2.55M,-1.10%
26/04/2018,"27,935.00","28,930.00","29,465.70","27,169.70",2.78M,-3.95%
24/04/2018,"29,083.00","28,317.70","29,465.70","27,475.80",3.15M,3.54%
23/04/2018,"28,088.10","30,460.70","31,111.20","28,088.10",4.04M,-6.97%
20/04/2018,"30,192.80","29,465.70","30,269.30","28,317.70",3.04M,3.82%
19/04/2018,"29,083.00","30,766.80","30,919.90","28,930.00",3.46M,-5.47%
18/04/2018,"30,766.80","32,680.20","32,680.20","30,766.80",1.50M,-4.06%
17/04/2018,"32,067.90","30,613.70","32,067.90","30,384.10",3.16M,4.75%
16/04/2018,"30,613.70","31,379.10","32,144.40","30,613.70",2.78M,-4.76%
13/04/2018,"32,144.40","34,057.80","34,287.40","31,914.80",4.24M,-5.41%
12/4/2018,"33,981.20","33,904.70","34,440.40","33,369.00",2.28M,-0.22%
11/4/2018,"34,057.80","35,818.10","35,818.10","33,675.10",3.00M,-2.20%
10/4/2018,"34,823.10","34,363.90","35,511.90","34,287.40",5.26M,2.48%
9/4/2018,"33,981.20","33,904.70","34,440.40","33,215.90",3.43M,0.91%
6/4/2018,"33,675.10","33,828.20","34,210.80","33,522.00",1.85M,0.00%
5/4/2018,"33,675.10","34,287.40","34,287.40","33,483.80",2.19M,-1.79%
4/4/2018,"34,287.40","34,517.00","34,784.90","34,287.40",1.90M,-0.67%
3/4/2018,"34,517.00","34,670.00","35,052.70","34,210.80",1.69M,0.22%
2/4/2018,"34,440.40","33,522.00","34,440.40","32,871.50",3.28M,3.69%
30/03/2018,"33,215.90","33,522.00","33,636.80","32,641.90",2.78M,-1.36%
29/03/2018,"33,675.10","34,096.00","34,210.80","33,522.00",1.13M,-1.23%
28/03/2018,"34,096.00","33,675.10","34,249.10","33,215.90",2.10M,1.02%
27/03/2018,"33,751.60","35,205.80","35,665.00","33,751.60",3.70M,-1.78%
26/03/2018,"34,363.90","32,144.40","34,363.90","32,144.40",2.43M,6.02%
23/03/2018,"32,412.30","33,292.40","33,369.00","31,685.20",4.61M,-4.40%
22/03/2018,"33,904.70","33,292.40","34,057.80","33,101.10",3.18M,1.84%
21/03/2018,"33,292.40","33,292.40","33,522.00","32,603.60",2.02M,2.35%
20/03/2018,"32,527.10","31,532.10","32,986.30","31,379.10",2.35M,1.92%
19/03/2018,"31,914.80","32,909.80","32,986.30","31,532.10",2.98M,-2.57%
16/03/2018,"32,756.70","32,374.00","33,292.40","31,991.30",3.31M,2.64%
15/03/2018,"31,914.80","29,848.40","31,914.80","29,618.80",4.44M,6.92%
14/03/2018,"29,848.40","30,460.70","30,460.70","29,771.90",2.51M,-0.51%
13/03/2018,"30,001.50","29,542.20","30,001.50","29,083.00",2.49M,1.55%
12/3/2018,"29,542.20","29,618.80","29,848.40","29,083.00",2.53M,3.62%
